"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","logSalePrice","GarageCars_f","pool_yn","porch_yn","Fence_f","WoodDeckSF_group","OpenPorchSF_group","EnclosedPorch_group","MiscVal_group","X2ndFlrSFDIV1st","TotalBath","BedroomAbvGr4plus","KitchenQual.Fac","KitchenQual.FacNum","TotRmsAbvGrd10plus","FireplaceY","GarageTypeY","GarageCars.Fac","GarageCars3plus","GarageCond.Fac","GarageCond.N","PavedDrive.Fac","PavedDriveY","MSSubClass_group","YearBuilt.b","YearRemodAdd.b","RoofStyleY","RoofMatl.n","Exterior1st.n","Exterior2nd.n","MasVnrType.n","MasVnrArea.b","ExterQual.n","ExterCond.n","Foundation.n","BsmtQual.n","BsmtCond.n","BsmtExposure.n","BsmtFinType1.n","BsmtFinSF1.b","BsmtFinType2.n","BsmtFinSF2.b","BsmtUnfSF.b","TotalBsmtSF.b","Heating.n","HeatingQC.n","CentralAir.n","Electrical.n"
"1",1,60,"RL",65,8450,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",196,"Gd","TA","PConc","Gd","TA","No","GLQ",706,"Unf",0,150,856,"GasA","Ex","Y","SBrkr",856,854,0,1710,1,0,2,1,3,1,"Gd",8,"Typ",0,NA,"Attchd",2003,"RFn",2,548,"TA","TA","Y",0,61,0,0,0,0,NA,NA,NA,0,2,2008,"WD","Normal",208500,12.247694320221,"2",0,0,NA,"0-100SF","50-100SF","0-50SF","$0-$200",0.997663551401869,2.5,3,"Gd",3,8,0,1,"2",3,"TA",3,"Y",1,"30-60",4,5,1,2,13,14,2,1,3,3,3,4,3,1,6,3,1,0,1,4,2,5,1,5
"2",2,20,"RL",80,9600,"Pave",NA,"Reg","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story",6,8,1976,1976,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",978,"Unf",0,284,1262,"GasA","Ex","Y","SBrkr",1262,0,0,1262,0,1,2,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1976,"RFn",2,460,"TA","TA","Y",298,0,0,0,0,0,NA,NA,NA,0,5,2007,"WD","Normal",181500,12.109010932687,"2",0,0,NA,"200-300SF","0-50SF","0-50SF","$0-$200",0,2,3,"TA",2,6,1,1,"2",3,"TA",3,"Y",1,"0-30",3,2,1,2,9,9,3,0,2,3,2,4,3,4,5,4,1,0,2,6,2,5,1,5
"3",3,60,"RL",68,11250,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",162,"Gd","TA","PConc","Gd","TA","Mn","GLQ",486,"Unf",0,434,920,"GasA","Ex","Y","SBrkr",920,866,0,1786,1,0,2,1,3,1,"Gd",6,"Typ",1,"TA","Attchd",2001,"RFn",2,608,"TA","TA","Y",0,42,0,0,0,0,NA,NA,NA,0,9,2008,"WD","Normal",223500,12.3171666930358,"2",0,0,NA,"0-100SF","0-50SF","0-50SF","$0-$200",0.941304347826087,2.5,3,"Gd",3,6,1,1,"2",3,"TA",3,"Y",1,"30-60",4,5,1,2,13,14,2,1,3,3,3,4,3,2,6,2,1,0,2,4,2,5,1,5
"4",4,70,"RL",60,9550,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,5,1915,1970,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","Gd","No","ALQ",216,"Unf",0,540,756,"GasA","Gd","Y","SBrkr",961,756,0,1717,1,0,1,0,3,1,"Gd",7,"Typ",1,"Gd","Detchd",1998,"Unf",3,642,"TA","TA","Y",0,35,272,0,0,0,NA,NA,NA,0,2,2006,"WD","Abnorml",140000,11.8493977015914,"3",0,0,NA,"0-100SF","0-50SF","> 200SF","$0-$200",0.786680541103018,1,3,"Gd",3,7,1,0,"3",4,"TA",3,"Y",1,"60-90",1,1,1,2,14,16,3,0,2,3,1,3,4,1,5,1,1,0,3,4,2,4,1,5
"5",5,60,"RL",84,14260,"Pave",NA,"IR1","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",350,"Gd","TA","PConc","Gd","TA","Av","GLQ",655,"Unf",0,490,1145,"GasA","Ex","Y","SBrkr",1145,1053,0,2198,1,0,2,1,4,1,"Gd",9,"Typ",1,"TA","Attchd",2000,"RFn",3,836,"TA","TA","Y",192,84,0,0,0,0,NA,NA,NA,0,12,2008,"WD","Normal",250000,12.4292161968444,"3",0,0,NA,"100-200SF","50-100SF","0-50SF","$0-$200",0.919650655021834,2.5,4,"Gd",3,9,1,1,"3",4,"TA",3,"Y",1,"30-60",4,4,1,2,13,14,2,2,3,3,3,4,3,3,6,3,1,0,2,5,2,5,1,5
"6",6,50,"RL",85,14115,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","Wood","Gd","TA","No","GLQ",732,"Unf",0,64,796,"GasA","Ex","Y","SBrkr",796,566,0,1362,1,0,1,1,1,1,"TA",5,"Typ",0,NA,"Attchd",1993,"Unf",2,480,"TA","TA","Y",40,30,0,320,0,0,NA,"MnPrv","Shed",700,10,2009,"WD","Normal",143000,11.870599909242,"2",0,0,"MnPrv","0-100SF","0-50SF","0-50SF","$600-$800",0.71105527638191,1.5,1,"TA",2,5,0,1,"2",3,"TA",3,"Y",1,"30-60",4,4,1,2,13,14,3,0,2,3,6,4,3,1,6,3,1,0,1,4,2,5,1,5
"7",7,20,"RL",75,10084,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",186,"Gd","TA","PConc","Ex","TA","Av","GLQ",1369,"Unf",0,317,1686,"GasA","Ex","Y","SBrkr",1694,0,0,1694,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2004,"RFn",2,636,"TA","TA","Y",255,57,0,0,0,0,NA,NA,NA,0,8,2007,"WD","Normal",307000,12.6346030265693,"2",0,0,NA,"200-300SF","50-100SF","0-50SF","$0-$200",0,2,3,"Gd",3,7,1,1,"2",3,"TA",3,"Y",1,"0-30",4,5,1,2,13,14,4,1,3,3,3,5,3,3,6,6,1,0,2,7,2,5,1,5
"8",8,60,"RL",NA,10382,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",7,6,1973,1973,"Gable","CompShg","HdBoard","HdBoard","Stone",240,"TA","TA","CBlock","Gd","TA","Mn","ALQ",859,"BLQ",32,216,1107,"GasA","Ex","Y","SBrkr",1107,983,0,2090,1,0,2,1,3,1,"TA",7,"Typ",2,"TA","Attchd",1973,"RFn",2,484,"TA","TA","Y",235,204,228,0,0,0,NA,NA,"Shed",350,11,2009,"WD","Normal",200000,12.2060726455302,"2",0,0,NA,"200-300SF","> 200SF","> 200SF","$200-$400",0.887985546522132,2.5,3,"TA",2,7,1,1,"2",3,"TA",3,"Y",1,"30-60",3,2,1,2,7,7,4,1,2,3,2,4,3,2,5,4,4,1,1,5,2,5,1,5
"9",9,50,"RM",51,6120,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",7,5,1931,1950,"Gable","CompShg","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,952,952,"GasA","Gd","Y","FuseF",1022,752,0,1774,0,0,2,0,2,2,"TA",8,"Min1",2,"TA","Detchd",1931,"Unf",2,468,"Fa","TA","Y",90,0,205,0,0,0,NA,NA,NA,0,4,2008,"WD","Abnorml",129900,11.7745202026587,"2",0,0,NA,"0-100SF","0-50SF","> 200SF","$0-$200",0.735812133072407,2,2,"TA",2,8,1,0,"2",3,"TA",3,"Y",1,"30-60",2,0,1,2,4,16,3,0,2,3,1,3,3,1,1,0,1,0,4,4,2,4,1,3
"10",10,190,"RL",50,7420,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","GLQ",851,"Unf",0,140,991,"GasA","Ex","Y","SBrkr",1077,0,0,1077,1,0,1,0,2,2,"TA",5,"Typ",2,"TA","Attchd",1939,"RFn",1,205,"Gd","TA","Y",0,4,0,0,0,0,NA,NA,NA,0,1,2008,"WD","Normal",118000,11.6784399034478,"1",0,0,NA,"0-100SF","0-50SF","0-50SF","$0-$200",0,1,2,"TA",2,5,1,1,"1",2,"TA",3,"Y",1,"90-200",2,0,1,2,9,9,3,0,2,3,1,3,3,1,6,4,1,0,1,4,2,5,1,5
